captured_date,source,msft_classification_type,extension_identifier,publisher_name,version,artifact,sha256,size_mb,published_date,last_updated_date,verified_publisher,installation_count,average_rating,rating_count,categories,repository_url,flags,engines_vscode,exists_in_dataset
2025-11-28,removed_list,Malware,vialenliyu.Functionsandapplications11mcgrawhillryersonpdf13-sallole,vialenliyu,0.0.1,vialenliyu.Functionsandapplications11mcgrawhillryersonpdf13-sallole-0.0.1.vsix,7c2b9f95e33b812a2291e718da7ea358c3b75c491e2499254e04cc04a0422e75,0.01,2022-03-22,2022-03-22,false,null,null,null,Other,none,validated;public;unpublished,^1.65.0,vsmex
2025-12-02,removed_list,Impersonation,betterthanalltime.calva-vscode,betterthanalltime,2.0.540,betterthanalltime.calva-vscode-2.0.540.vsix,e76dcbeb597d812931c3e2e6d5af6b868842233e34f6e434925dceca0b9bad90,20.23,2025-11-29,2025-11-29,false,1,null,null,Programming Languages;Linters;Debuggers;Formatters;Testing,none,validated;public,^1.75.0,vsmex
2025-12-02,removed_list,Malware,priskinski.Theme-Afterglow-remake,priskinski,1.0.0,priskinski.Theme-Afterglow-remake-1.0.0.vsix,cbf1ef91b5bfee84585739a3fef626b65d5c654fa34d50ff18ba2f9ea309e898,11.42,2025-02-08,2025-02-08,false,23,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-02,removed_list,Malware,priskinski.Theme-AgolaDark-remake,priskinski,1.0.0,priskinski.Theme-AgolaDark-remake-1.0.0.vsix,b772861ac265b36536b17d944214ed8348d83d1204355218b6e414662335151b,11.59,2025-02-08,2025-02-08,false,12,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-02,removed_list,Malware,priskinski.Theme-AllHallowsEve-remake,priskinski,1.0.0,priskinski.Theme-AllHallowsEve-remake-1.0.0.vsix,208088550e1294f811adbcc496eea838d8476b75a13d1546bfd1f5b652e47272,11.24,2025-02-08,2025-02-08,false,19,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-02,removed_list,Malware,priskinski.Theme-Amber-remake,priskinski,1.0.0,priskinski.Theme-Amber-remake-1.0.0.vsix,e567da04173daddded2ab6f355bc5674f0b1064fb3121af4a58f10a8fbc2f941,11.46,2025-02-08,2025-02-08,false,42,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-02,removed_list,Malware,priskinski.Theme-Amy-remake,priskinski,1.0.0,priskinski.Theme-Amy-remake-1.0.0.vsix,b76a0ca10178122ecc2a37bf2c078b7085c5ef7b4ee53654c46dc048352ef8ac,11.64,2025-02-08,2025-02-08,false,13,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-03,removed_list,Malware,Iconkieftwo.icon-theme-materiall,Iconkieftwo,5.29.1,Iconkieftwo.icon-theme-materiall-5.29.1.vsix,0878f3c59755ffaf0b639c1b2f6e8fed552724a50eb2878c3ba21cf8eb4e2ab6,2.43,2025-11-24,2025-11-28,false,16328,null,null,Themes,https://github.com/material-extensions/vscode-material-icon-theme.git,validated;public,^1.55.0,vsmex
2025-12-03,removed_list,Malware,Malkolm.Theme-ArtSchool-remake,Malkolm,1.0.0,Malkolm.Theme-ArtSchool-remake-1.0.0.vsix,c25ac4421b98c1aaa7f62b208836664c2844974e6dc91a5f5a9eda4b3e539f99,4.05,2025-02-10,2025-02-10,false,12,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-03,removed_list,Malware,Malkolm.Theme-Ascetic-remake,Malkolm,1.0.0,Malkolm.Theme-Ascetic-remake-1.0.0.vsix,93b80e8de525b8c4c8fcdf89bdcd73193db9de34bad5ca013bb311a2bc5ace2d,4.05,2025-02-10,2025-02-10,false,8,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-03,removed_list,Malware,Malkolm.Theme-Aurora-remake,Malkolm,1.0.0,Malkolm.Theme-Aurora-remake-1.0.0.vsix,171c45232949efd7e1ebbaf706940928eeb8c5941ad6acf4be3191b912d8c77c,4.04,2025-02-10,2025-02-10,false,16,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-03,removed_list,Malware,Malkolm.Theme-azure-remake,Malkolm,1.0.0,Malkolm.Theme-azure-remake-1.0.0.vsix,75b5d9b6a536d69b52746e737e6bde09ccaf9ba9082046b634efd9dfd1f41f92,4.05,2025-02-10,2025-02-10,false,24,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-03,removed_list,Malware,Malkolm.Theme-bashling-remake,Malkolm,1.0.0,Malkolm.Theme-bashling-remake-1.0.0.vsix,a9a52876199b3652c2aa7a2bbadd2a09bc0d3c43c389186a0dfc059b327946fd,4.04,2025-02-10,2025-02-10,false,26,5,1,Themes,none,validated;public,^1.70.0,vsmex
2025-12-03,removed_list,Impersonation,Med-H.git-graph-revamped,Med-H,1.30.2,Med-H.git-graph-revamped-1.30.2.vsix,3ede95edfcf4f6c3b576c9a91742448833fd43519a0ddaafa28a80a40b60ef8c,0.76,2025-02-10,2025-02-10,false,1255,null,null,Other,https://github.com/Med-H/vscode-git-graph.git,validated;public,^1.38.0,vsmex
2025-12-03,removed_list,Impersonation,heartacker.git-graph-ai,heartacker,1.31.7,heartacker.git-graph-ai-1.31.7.vsix,316a3beade7af77cfff8ca052fd235214ee12389143cda0315863813020ea895,0.36,2025-07-18,2025-07-21,false,408,null,null,SCM Providers;Visualization,https://github.com/heartacker/vscode-git-graph.git,validated;public,^1.38.0,vsmex
2025-12-04,removed_list,Impersonation,77qingliu.sas-syntax,77qingliu,1.0.8,77qingliu.sas-syntax-1.0.8.vsix,679436e59abf508bacb34f260e24f9c8426bb7013cda95fd4fccfeb2c42ae87d,0.34,2018-05-30,2018-06-03,false,35060,4.80,5,Programming Languages;Snippets,https://github.com/77QingLiu/vscode-SAS.tmLanguage,validated;public,^1.20.0,vsmex
2025-12-04,removed_list,Malware,Dart-vsc.code-dart,Dart-vsc,3.123.22251130,Dart-vsc.code-dart-3.123.22251130.vsix,aaf86c7ca44e0abffde961e129edf0cd631cfd0057e3dc61c8f281fc84908be9,20.01,2025-11-24,2025-12-03,false,273,null,null,Programming Languages;Snippets;Linters;Debuggers;Formatters;Testing,https://github.com/Dart-Code/Dart-Code.git,validated;public,^1.75.0,vsmex
2025-12-04,removed_list,Malware,csvmech.csvrainbow,csvmech,3.3.1,csvmech.csvrainbow-3.3.1.vsix,c5894b4143846f6c77e9dd01a10aab9bea49c907c487051e87b0e6267a86f81f,0.15,2025-11-24,2025-11-24,false,null,null,null,Programming Languages;Data Science,https://github.com/mechatroner/vscode_rainbow_csv.git,validated;public,^1.67.0,vsmex
2025-12-04,removed_list,Malware,cweijamysq.sync-settings-vscode,cweijamysq,0.18.2,cweijamysq.sync-settings-vscode-0.18.2.vsix,b05858ee95a168e278cf8a6d91ec6568b2f7adc0f0096aa1254952bd28bdb4ec,4.79,2025-11-26,2025-11-26,false,null,null,null,Other,https://github.com/zokugun/vscode-sync-settings.git,validated;public,^1.23.0,vsmex
2025-12-04,removed_list,Malware,eamodas.shiny-vscode,eamodas,1.3.2,eamodas.shiny-vscode-1.3.2.vsix,111596481d07cf6f360ee77b615cd6dde4ee1dd6880f1dcb4a4c09b03c18fbec,0.15,2025-11-26,2025-11-26,false,null,null,null,Other,https://github.com/posit-dev/shiny-vscode.git,validated;public,^1.96.0,vsmex
